dataset,model,repetition,fold,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,roc_auc
CICIDS2017,XGBoost,0,0,0.99719,0.995492126606444,0.995625047209167,0.995492126606444,0.9955585702842449,0.9998140036411679
CICIDS2017,RF,0,0,0.99774,0.9961219032688332,0.9967311475963323,0.9961219032688332,0.9964261771570272,0.9998102192918688
CICIDS2017,DT,0,0,0.99769,0.9962248484427053,0.996472147379749,0.9962248484427053,0.9963484404905658,0.9994131186350678
CICIDS2017,XGBoost,0,1,0.99681,0.9951022814192969,0.9948180185694349,0.9951022814192969,0.994960073811378,0.9997412517146994
CICIDS2017,RF,0,1,0.99732,0.9955156108754607,0.9960098541819133,0.9955156108754607,0.9957625029133503,0.9996703200561347
CICIDS2017,DT,0,1,0.99711,0.9954614674665436,0.9954045362340167,0.9954614674665436,0.9954329987990047,0.9992765985422684
CICIDS2017,XGBoost,0,2,0.99688,0.9951073736824172,0.9950315183703522,0.9951073736824172,0.9950694406046923,0.9997464477337391
CICIDS2017,RF,0,2,0.99735,0.9955149551502911,0.9961044482663572,0.9955149551502911,0.9958093751561853,0.9997560292400502
CICIDS2017,DT,0,2,0.99728,0.995586301702037,0.9958142876575983,0.995586301702037,0.9957002458000648,0.9992624098724331
CICIDS2017,XGBoost,0,3,0.99712,0.9956207645276604,0.9952793236508395,0.9956207645276604,0.9954499343076683,0.9997208258255943
CICIDS2017,RF,0,3,0.99763,0.996110718565314,0.9963960495141934,0.996110718565314,0.9962533075889529,0.9996828370638082
CICIDS2017,DT,0,3,0.99755,0.996175838544539,0.9960808199875645,0.996175838544539,0.9961283207811631,0.9993633230820603
CICIDS2017,XGBoost,0,4,0.996739967399674,0.9951734311221998,0.9945296361548391,0.9951734311221998,0.9948511426055526,0.9997345279962817
CICIDS2017,RF,0,4,0.997279972799728,0.9956246023197062,0.9957765707505764,0.9956246023197062,0.9957005648148611,0.999677355596497
CICIDS2017,DT,0,4,0.99719997199972,0.99563225516628,0.9955183645168709,0.99563225516628,0.9955752976343419,0.9993432497821986
CICIDS2017,XGBoost,1,0,0.99725,0.9957784892945869,0.995531764652019,0.9957784892945869,0.9956550696844182,0.999776299536636
CICIDS2017,RF,1,0,0.99763,0.996072564178746,0.9964340090970736,0.996072564178746,0.996253163965297,0.9997361145703612
CICIDS2017,DT,1,0,0.99746,0.9960241733094803,0.9959481829532799,0.9960241733094803,0.9959861727025008,0.9993540694476929
CICIDS2017,XGBoost,1,1,0.99672,0.9950270875081388,0.9946103917524671,0.9950270875081388,0.9948185758421094,0.9997056425460361
CICIDS2017,RF,1,1,0.99721,0.9953513474217877,0.9958263977622674,0.9953513474217877,0.9955886603668704,0.9996373453609877
CICIDS2017,DT,1,1,0.99712,0.9953336156924224,0.9955614691488243,0.9953336156924224,0.9954474935645958,0.9991735604427558
CICIDS2017,XGBoost,1,2,0.997,0.9952012479792332,0.9953151149194261,0.9952012479792332,0.995258169241205,0.9997730422376322
CICIDS2017,RF,1,2,0.99755,0.9957161083069703,0.9965346633610599,0.9957161083069703,0.9961247568724856,0.999753023897062
CICIDS2017,DT,1,2,0.99744,0.9957433931420674,0.9961617292942362,0.9957433931420674,0.9959523967862193,0.9993214224434521
CICIDS2017,XGBoost,1,3,0.99699,0.9954248865254967,0.9950646388813846,0.9954248865254967,0.9952446404296957,0.9997665504691955
CICIDS2017,RF,1,3,0.99745,0.995787930567719,0.9961491938749069,0.995787930567719,0.9959684395911477,0.9997623733964576
CICIDS2017,DT,1,3,0.99741,0.9958204905573316,0.995991532683882,0.9958204905573316,0.9959059841208814,0.9994008958750441
CICIDS2017,XGBoost,1,4,0.997109971099711,0.9956719920608395,0.9951979032858366,0.9956719920608395,0.9954347359777352,0.9997128078958184
CICIDS2017,RF,1,4,0.997439974399744,0.9958774715128942,0.9960295174785243,0.9958774715128942,0.9959534727669281,0.9996362588842528
CICIDS2017,DT,1,4,0.997449974499745,0.9959794749080764,0.9959604746296251,0.9959794749080764,0.9959699744294739,0.9992496673314453
BoT-IoT,XGBoost,0,0,0.99997,0.9230719224268386,0.9583233321331893,0.9230719224268386,0.9399924990623828,0.9999423001913326
BoT-IoT,RF,0,0,0.99993,0.7307692307692308,0.9999649978998739,0.7307692307692308,0.8157719720215526,0.9999176816063011
BoT-IoT,DT,0,0,0.99992,0.8076773057420541,0.8636113608860612,0.8076773057420541,0.8333133309330453,0.8076773057420541
BoT-IoT,XGBoost,0,1,0.99998,0.9230769230769231,0.999989998899879,0.9230769230769231,0.9583283327332612,0.9999961533460888
BoT-IoT,RF,0,1,0.99996,0.8461538461538461,0.999979998199838,0.8461538461538461,0.9090809079907881,0.9999865367113109
BoT-IoT,DT,0,1,0.99995,0.8846053833152157,0.9166516648664507,0.8846053833152157,0.8999874984373046,0.8846053833152155
BoT-IoT,XGBoost,0,2,0.99994,0.7857142857142857,0.999969997599808,0.7857142857142857,0.8636213619861821,0.9999599943992159
BoT-IoT,RF,0,2,0.99991,0.6785714285714286,0.9999549977498875,0.6785714285714286,0.763135392599139,0.9999878554426191
BoT-IoT,DT,0,2,0.99996,0.8928521421570448,0.9583183315331173,0.8928521421570448,0.923066921776754,0.8928521421570448
BoT-IoT,XGBoost,0,3,0.99999,0.9642857142857143,0.9999949993499155,0.9642857142857143,0.981478981143936,1.0
BoT-IoT,RF,0,3,0.99993,0.75,0.9999649975498285,0.75,0.8333158314956404,0.9999982140356793
BoT-IoT,DT,0,3,0.99993,0.8214185700283754,0.9090659063406066,0.8214185700283754,0.8599824978122266,0.8214185700283754
BoT-IoT,XGBoost,0,4,0.999949999499995,0.8846053832151886,0.9166516647164131,0.8846053832151886,0.8999874983122722,0.9999884599228507
BoT-IoT,RF,0,4,0.999949999499995,0.8846053832151886,0.9166516647164131,0.8846053832151886,0.8999874983122722,0.999988844592089
BoT-IoT,DT,0,4,0.999939999399994,0.9615134580379715,0.8529361755704262,0.9615134580379715,0.8999849975996159,0.9615134580379715
BoT-IoT,XGBoost,1,0,0.99994,0.7692307692307692,0.999969997899853,0.7692307692307692,0.84998499849985,0.9993222195808532
BoT-IoT,RF,1,0,0.9999,0.6153846153846154,0.9999499984999549,0.6153846153846154,0.68747499799984,0.9999838440535731
