dataset,class,precision,recall,f1,support
CICIDS2017,0,0.9969646512670817,0.9968032283242274,0.9968839332609504,240868.0
CICIDS2017,1,1.0,0.3894230769230769,0.5605536332179931,208.0
CICIDS2017,10,0.9896828204221201,0.9963202563950383,0.9929904468959806,16849.0
CICIDS2017,11,0.8379120879120879,0.9902597402597403,0.9077380952380952,616.0
CICIDS2017,12,0.9375,0.09259259259259259,0.16853932584269662,162.0
CICIDS2017,14,1.0,0.04225352112676056,0.08108108108108109,71.0
CICIDS2017,2,0.9996323799720609,0.9988979501873485,0.9992650301337646,13611.0
CICIDS2017,3,0.8676236044657097,0.9908925318761385,0.9251700680272109,1098.0
CICIDS2017,4,0.988692695317301,0.9868733131594013,0.9877821664654237,24454.0
CICIDS2017,5,0.8959627329192547,0.9713804713804713,0.9321486268174475,594.0
CICIDS2017,6,0.9851973684210527,0.9917218543046358,0.9884488448844885,604.0
CICIDS2017,7,0.994199535962877,0.9988344988344988,0.9965116279069768,858.0
CICIDS2017,9,1.0,0.75,0.8571428571428571,4.0
CICIDS2017,Other,0.0,0.0,0.0,3.0
